1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,3-1,3-2,4-1,4-2,4-3,4-4,5-1,5-2,6-1,7-1
0,29.918,68.107,88.774,115.881,196.958,236.147,268.123,298.144,375.151,396.593,423.353,498,525.025,567,601.168,675.192,761.824
,30.451,,,116.361,,236.694,,298.700,,,423.919,,525.501,,601.579,675.780,762.706
,30.984,,,116.841,,237.241,,299.256,,,424.485,,525.977,,601.990,676.368,763.588
,31.517,,,117.321,,237.788,,299.812,,,425.051,,526.453,,602.401,676.956,764.470
,32.050,,,117.801,,238.335,,300.368,,,425.617,,526.929,,602.812,677.544,765.352
,32.583,,,118.281,,238.882,,300.924,,,426.183,,527.405,,603.223,678.132,766.234
,33.116,,,118.761,,239.429,,301.480,,,426.749,,527.881,,603.634,678.720,767.116
,33.649,,,119.241,,239.976,,302.036,,,427.315,,528.357,,604.045,679.308,767.998
,34.182,,,119.721,,240.523,,302.592,,,427.881,,528.833,,604.456,679.896,768.880
,34.715,,,120.201,,241.070,,303.148,,,428.447,,529.309,,604.867,680.484,769.762
,35.248,,,120.681,,241.617,,303.704,,,429.013,,529.785,,605.278,681.072,770.644
,35.781,,,121.161,,242.164,,304.260,,,429.579,,530.261,,605.689,681.660,771.526
,36.314,,,121.641,,242.711,,304.816,,,430.145,,530.737,,606.100,682.248,772.408
,36.847,,,122.121,,243.258,,305.372,,,430.711,,531.213,,606.511,682.836,773.290
,37.380,,,122.601,,243.805,,305.928,,,431.277,,531.689,,606.922,683.424,774.172
,37.913,,,123.081,,244.352,,306.484,,,431.843,,532.165,,607.333,684.012,775.054
,38.446,,,123.561,,244.899,,307.040,,,432.409,,532.641,,607.744,684.600,775.936
,38.979,,,124.041,,245.446,,307.596,,,432.975,,533.117,,608.155,685.188,776.818
,39.512,,,124.521,,245.993,,308.152,,,433.541,,533.593,,608.566,685.776,777.700
,40.045,,,125.001,,246.540,,308.708,,,434.107,,534.069,,608.977,686.364,778.582
,40.578,,,125.481,,247.087,,309.264,,,434.673,,534.545,,609.388,686.952,779.464
,41.111,,,125.961,,247.634,,309.820,,,435.239,,535.021,,609.799,687.540,780.346
,41.644,,,126.441,,248.181,,310.376,,,435.805,,535.497,,610.210,688.128,781.228
,42.177,,,126.921,,248.728,,310.932,,,436.371,,535.973,,610.621,688.716,782.110
,42.710,,,127.401,,249.275,,311.488,,,436.937,,536.449,,611.032,689.304,782.992
,43.243,,,127.881,,249.822,,312.044,,,437.503,,536.925,,611.443,689.892,783.874
,43.776,,,128.361,,250.369,,312.600,,,438.069,,537.401,,611.854,690.480,784.756
,44.309,,,128.841,,250.916,,313.156,,,438.635,,537.877,,612.265,691.068,785.638
,44.842,,,129.321,,251.463,,313.712,,,439.201,,538.353,,612.676,691.656,786.520
,45.375,,,129.801,,252.010,,314.268,,,439.767,,538.829,,613.087,692.244,787.402
,45.908,,,130.281,,252.557,,314.824,,,440.333,,539.305,,613.498,692.832,788.284
,46.441,,,130.761,,253.104,,315.380,,,440.899,,539.781,,613.909,693.420,789.166
,46.974,,,131.241,,253.651,,315.936,,,441.465,,540.257,,614.320,694.008,790.048
,47.507,,,131.721,,254.198,,316.492,,,442.031,,540.733,,614.731,694.596,790.930
,48.040,,,132.201,,254.745,,317.048,,,442.597,,541.209,,615.142,695.184,791.812
,48.573,,,132.681,,255.292,,317.604,,,443.163,,541.685,,615.553,695.772,792.694
,49.106,,,133.161,,255.839,,318.160,,,443.729,,542.161,,615.964,696.360,793.576
,49.639,,,133.641,,256.386,,318.716,,,444.295,,542.637,,616.375,696.948,794.458
,50.172,,,134.121,,256.933,,319.272,,,444.861,,543.113,,616.786,697.536,795.340
,50.705,,,134.601,,257.480,,319.828,,,445.427,,543.589,,617.197,698.124,796.222
,51.238,,,135.081,,258.027,,320.384,,,445.993,,544.065,,617.608,698.712,797.104
,51.771,,,135.561,,258.574,,320.940,,,446.559,,544.541,,618.019,699.300,797.986
,52.304,,,136.041,,259.121,,321.496,,,447.125,,545.017,,618.430,699.888,798.868
,52.837,,,136.521,,259.668,,322.052,,,447.691,,545.493,,618.841,700.476,799.750
,53.370,,,137.001,,260.215,,322.608,,,448.257,,545.969,,619.252,701.064,800.632
,53.903,,,137.481,,260.762,,323.164,,,448.823,,546.445,,619.663,701.652,801.514
